"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1719","solntsevShouldBeTheTopContributor()","","Tue Jul 01 05:12:40 GMT 2025","passed","Tue Jul 01 05:12:42 GMT 2025","","tests.githubTests.firstLesson.BestContributorToSelenide","tests.githubTests.firstLesson.BestContributorToSelenide","solntsevShouldBeTheTopContributor"
"","6","xlsParseTest()","","Tue Jul 01 05:13:05 GMT 2025","broken","Tue Jul 01 05:13:05 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","xlsParseTest"
"","1432","firstHomework()","","Tue Jul 01 05:12:42 GMT 2025","passed","Tue Jul 01 05:12:43 GMT 2025","","tests.githubTests.firstLesson.FirstHomework","tests.githubTests.firstLesson.FirstHomework","firstHomework"
"","6748","successfulLoginTest()","","Tue Jul 01 05:12:06 GMT 2025","failed","Tue Jul 01 05:12:13 GMT 2025","","tests.FirstLesson.LoginTests","tests.FirstLesson.LoginTests","successfulLoginTest"
"","17","csvParseTest()","","Tue Jul 01 05:12:59 GMT 2025","passed","Tue Jul 01 05:12:59 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","csvParseTest"
"","14","firstTest()","","Tue Jul 01 05:12:59 GMT 2025","passed","Tue Jul 01 05:12:59 GMT 2025","","tests.junit.FirstJunitTest","tests.junit.FirstJunitTest","firstTest"
"","6697","testBoxTest()","","Tue Jul 01 05:12:31 GMT 2025","failed","Tue Jul 01 05:12:38 GMT 2025","","tests.demoqa.TestBoxWithDataTestBox","tests.demoqa.TestBoxWithDataTestBox","testBoxTest"
"","419","dragAndDropTest()","","Tue Jul 01 05:12:43 GMT 2025","passed","Tue Jul 01 05:12:44 GMT 2025","","tests.githubTests.firstLesson.SecondHomework","tests.githubTests.firstLesson.SecondHomework","dragAndDropTest"
"","297","unsuccessfullBftLoginTest()","","Tue Jul 01 05:12:06 GMT 2025","broken","Tue Jul 01 05:12:06 GMT 2025","","tests.FirstLesson.LoginTests","tests.FirstLesson.LoginTests","unsuccessfullBftLoginTest"
"","6505","testBoxTest()","","Tue Jul 01 05:12:25 GMT 2025","failed","Tue Jul 01 05:12:31 GMT 2025","","tests.demoqa.TestBoxTest","tests.demoqa.TestBoxTest","testBoxTest"
"","2778","testAlfa()","","Tue Jul 01 05:12:03 GMT 2025","broken","Tue Jul 01 05:12:06 GMT 2025","","tests.FirstLesson.AlphaBankTests","tests.FirstLesson.AlphaBankTests","testAlfa"
"","4","jsonParseTest()","","Tue Jul 01 05:12:59 GMT 2025","passed","Tue Jul 01 05:12:59 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","jsonParseTest"
"","7389","githubSolutionsHoverTest()","","Tue Jul 01 05:12:44 GMT 2025","failed","Tue Jul 01 05:12:51 GMT 2025","","tests.githubTests.firstLesson.SecondHomework","tests.githubTests.firstLesson.SecondHomework","githubSolutionsHoverTest"
"","3346","lamdaStepTest()","","Tue Jul 01 05:12:14 GMT 2025","broken","Tue Jul 01 05:12:17 GMT 2025","","tests.allure_tests.AttachmentsSteps","tests.allure_tests.AttachmentsSteps","lamdaStepTest"
"","1408","selenideDownloadTests()","","Tue Jul 01 05:13:05 GMT 2025","passed","Tue Jul 01 05:13:07 GMT 2025","","tests.selenide_files_tests.SelenideFilesTests","tests.selenide_files_tests.SelenideFilesTests","selenideDownloadTests"
"","1","staticLabelTest()","","Tue Jul 01 05:12:17 GMT 2025","passed","Tue Jul 01 05:12:17 GMT 2025","","tests.allure_tests.LabelsTests","tests.allure_tests.LabelsTests","staticLabelTest"
"","431","jsonParseImprovedJacksonTest()","","Tue Jul 01 05:12:59 GMT 2025","passed","Tue Jul 01 05:12:59 GMT 2025","","tests.selenide_files_homework.FilesJacksonHomework","tests.selenide_files_homework.FilesJacksonHomework","jsonParseImprovedJacksonTest"
"","5805","pdfParseTest()","","Tue Jul 01 05:12:59 GMT 2025","failed","Tue Jul 01 05:13:05 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","pdfParseTest"
"","2247","lamdaStepTest()","","Tue Jul 01 05:12:17 GMT 2025","broken","Tue Jul 01 05:12:19 GMT 2025","","tests.allure_tests.StepTest","tests.allure_tests.StepTest","lamdaStepTest"
